English,Polish
a,za
ability,umiejętność
able,zdolny
about,o
above,powyżej
accept,zaakceptować
according,według
account,konto
across,przez
act,akt
action,akcja
activity,czynność
actually,tak właściwie
add,Dodaj
address,adres
administration,administracja
admit,przyznać
adult,dorosły
affect,wpłynąć
after,po
again,jeszcze raz
against,przeciwko
age,wiek
agency,agencja
agent,agent
ago,temu
agree,Zgodzić się
agreement,umowa
ahead,przed siebie
air,powietrze
all,wszystko
allow,dopuszczać
almost,prawie
alone,sam
along,wzdłuż
already,już
also,również
although,mimo że
always,zawsze
American,amerykański
among,pośród
amount,ilość
analysis,analiza
and,i
animal,zwierzę
another,inne
answer,odpowiedź
any,każdy
anyone,ktoś
anything,byle co
appear,zjawić się
apply,zastosować
approach,podejście
area,powierzchnia
argue,kłócić się
arm,ramię
around,na około
arrive,przybyć
art,sztuka
article,artykuł
artist,artysta
as,tak jak
ask,zapytać
assume,założyć
at,w
attack,atak
attention,Uwaga
attorney,adwokat
audience,publiczność
author,autor
authority,autorytet
available,dostępny
avoid,uniknąć
away,z dala
baby,kochanie
back,z powrotem
bad,zły
bag,torba
ball,piłka
bank,Bank
bar,bar
base,baza
be,być
beat,bić
beautiful,piękny
because,dlatego
become,stają się
bed,łóżko
before,przed
begin,zaczynać
behavior,zachowanie
behind,za
believe,uwierzyć
benefit,zasiłek
best,Najlepsza
better,lepszy
between,pomiędzy
beyond,poza
big,duży
bill,rachunek
billion,miliard
bit,kawałek
black,czarny
blood,krew
blue,niebieski
board,tablica
body,ciało
book,książka
born,urodzony
both,obie
box,pudełko
boy,chłopiec
break,złamać
bring,przynieść
brother,brat
budget,budżet
build,budować
building,budynek
business,biznes
but,ale
buy,Kup
by,przez
call,połączenie
camera,aparat fotograficzny
campaign,kampania
can,mogą
cancer,rak
candidate,kandydat
capital,kapitał
car,samochód
card,karta
care,opieka
career,kariera
carry,nieść
case,walizka
catch,łapać
cause,przyczyna
cell,komórka
center,środek
central,centralny
century,stulecie
certain,pewny
certainly,na pewno
chair,krzesło
challenge,wyzwanie
chance,szansa
change,zmiana
character,postać
charge,opłata
check,czek
child,dziecko
